solar_data,solar_hashes,dump_data,dump_hashes
A3034KR4301HA26280080023800000044009303356001900024300181002390002577900028550995ÿ,2013-09-27 09:30:33.584623,A3034KR4301HA26280080023800000044009303356001900024300181002390002577900028550995ÿ,2013-09-27 09:30:33.580953
A3034KR4301HA26280080024000000114009283668001900024200181002410002433100026824405ÿ,2013-09-27 09:28:36.715744,A3034KR4301HA26280080024000000114009283668001900024200181002410002433100026824405ÿ,2013-09-27 09:28:36.712285
A3034KR4301HA26280080023700000014009304165001900024300181002380002579700028572325ÿ,2013-09-27 09:30:41.672619,A3034KR4301HA26280080023700000014009304165001900024300181002380002579700028572325ÿ,2013-09-27 09:30:41.667309
A3034KR4301HA26280080023100000144009230396001900023900181002320001930900021215910ÿ,2013-09-27 09:23:03.998658,A3034KR4301HA26280080023100000144009230396001900023900181002320001930900021215910ÿ,2013-09-27 09:23:03.994996
A3034KR4301HA26280080022800000054009280982001900023900181002270002335600025675860ÿ,2013-09-27 09:28:09.857746,A3034KR4301HA26280080022800000054009280982001900023900181002270002335600025675860ÿ,2013-09-27 09:28:09.853543
A3034KR4301HA26280080023500000024009221830001900023900181002340001902300020883385ÿ,2013-09-27 09:22:18.328656,A3034KR4301HA26280080023500000024009221830001900023900181002340001902300020883385ÿ,2013-09-27 09:22:18.326760
A3034KR4301HA26280080023500000014009221834001900023900181002340001902400020884560ÿ,2013-09-27 09:22:18.372652,A3034KR4301HA26280080023500000014009221834001900023900181002340001902400020884560ÿ,2013-09-27 09:22:18.365658
A3034KR4301HA26280080021100000064009245233001900023900181002120002082200022870750ÿ,2013-09-27 09:24:52.363749,A3034KR4301HA26280080021100000064009245233001900023900181002120002082200022870750ÿ,2013-09-27 09:24:52.363662
A3034KR4301HA26280080023200000014009225142001900023900181002330001923100021125795ÿ,2013-09-27 09:22:51.449652,A3034KR4301HA26280080023200000014009225142001900023900181002330001923100021125795ÿ,2013-09-27 09:22:51.443775
A3034KR4301HA26280080021200000014009243053001900023900181002130002066600022705160ÿ,2013-09-27 09:24:30.558746,A3034KR4301HA26280080021200000014009243053001900023900181002130002066600022705160ÿ,2013-09-27 09:24:30.557184
